This notepad takes measurements from the generator and then the loadCR going from 1ohm to 31 by 0.3 increments
Time,TimeLoop, counter, R set, Vm, Im, Rm
0.002478361129760742,0.002478361129760742,0,1,5.38,0.001,5380.0
2.0142617225646973,0.0028328895568847656,1,1.03,5.38,0.001,5380.0
4.070113182067871,0.026520729064941406,2,1.06,5.38,0.001,5380.0
6.077431678771973,0.002846240997314453,3,1.09,5.38,0.001,5380.0
8.092091083526611,0.0024313926696777344,4,1.12,5.38,0.001,5380.0
10.109978675842285,0.0019366741180419922,5,1.1500000000000001,5.38,0.001,5380.0
12.114543914794922,0.0019843578338623047,6,1.1800000000000002,5.38,0.001,5380.0
14.123364925384521,0.007199287414550781,7,1.2100000000000002,5.38,0.001,5380.0
16.136616230010986,0.0020723342895507812,8,1.2400000000000002,5.38,0.001,5380.0
18.167588710784912,0.0024597644805908203,9,1.2700000000000002,5.38,0.001,5380.0
20.20399308204651,0.00861358642578125,10,1.3000000000000003,5.38,0.001,5380.0
22.22563147544861,0.002378225326538086,11,1.3300000000000003,5.38,0.001,5380.0
24.264689683914185,0.01216268539428711,12,1.3600000000000003,5.38,0.001,5380.0
26.28416657447815,0.002627134323120117,13,1.3900000000000003,5.38,0.001,5380.0
28.33383345603943,0.03754019737243652,14,1.4200000000000004,2.3,1.562,1.4724711907810497
30.36085820198059,0.0024881362915039062,15,1.4500000000000004,2.32,1.553,1.493882807469414
32.402745962142944,0.013391733169555664,16,1.4800000000000004,2.37,1.553,1.526078557630393
34.42351984977722,0.0019838809967041016,17,1.5100000000000005,2.41,1.553,1.551835157759176
36.46396255493164,0.011358976364135742,18,1.5400000000000005,2.46,1.553,1.5840309079201547
38.499600410461426,0.0021576881408691406,19,1.5700000000000005,2.51,1.553,1.6162266580811333
40.54243350028992,0.029090166091918945,20,1.6000000000000005,2.55,1.553,1.6419832582099163
42.56069874763489,0.0024411678314208984,21,1.6300000000000006,2.6,1.553,1.6741790083708952
44.599127531051636,0.02033543586730957,22,1.6600000000000006,2.65,1.553,1.7063747585318738
46.63422608375549,0.0024261474609375,23,1.6900000000000006,2.69,1.553,1.7321313586606568
48.674081563949585,0.009818792343139648,24,1.7200000000000006,2.74,1.553,1.7643271088216357
50.684836626052856,0.0054836273193359375,25,1.7500000000000007,2.79,1.553,1.7965228589826143
52.69667029380798,0.0027451515197753906,26,1.7800000000000007,2.83,1.553,1.8222794591113973
54.71883749961853,0.009167671203613281,27,1.8100000000000007,2.88,1.553,1.854475209272376
56.72910141944885,0.005959987640380859,28,1.8400000000000007,2.93,1.553,1.886670959433355
58.74177074432373,0.0027701854705810547,29,1.8700000000000008,2.97,1.553,1.912427559562138
60.765207290649414,0.009025096893310547,30,1.9000000000000008,3.02,1.553,1.9446233097231167
62.789223432540894,0.0029578208923339844,31,1.9300000000000008,3.07,1.553,1.9768190598840953
64.84291648864746,0.010635852813720703,32,1.9600000000000009,3.11,1.553,2.0025756600128783
66.85416316986084,0.0055446624755859375,33,1.9900000000000009,3.16,1.553,2.034771410173857
68.86686706542969,0.0024650096893310547,34,2.020000000000001,3.21,1.553,2.066967160334836
70.88941836357117,0.009996891021728516,35,2.0500000000000007,3.25,1.553,2.092723760463619
72.90039801597595,0.004466056823730469,36,2.0800000000000005,3.3,1.553,2.1249195106245975
74.91470646858215,0.0033376216888427734,37,2.1100000000000003,3.35,1.553,2.1571152607855764
76.93556046485901,0.009821414947509766,38,2.14,3.39,1.553,2.1828718609143594
78.96344113349915,0.020812273025512695,39,2.17,3.44,1.553,2.2150676110753382
80.99273562431335,0.0030813217163085938,40,2.1999999999999997,3.49,1.553,2.247263361236317
83.02357840538025,0.0044629573822021484,41,2.2299999999999995,3.53,1.553,2.2730199613650997
85.03599905967712,0.001983642578125,42,2.2599999999999993,3.58,1.553,2.3052157115260785
87.05932331085205,0.010880231857299805,43,2.289999999999999,3.63,1.553,2.3374114616870574
89.0767912864685,0.014351367950439453,44,2.319999999999999,3.67,1.553,2.3631680618158404
91.0937089920044,0.0019843578338623047,45,2.3499999999999988,3.7,1.543,2.397926117952042
93.12979364395142,0.02380824089050293,46,2.3799999999999986,3.74,1.543,2.4238496435515233
95.13738560676575,0.002018451690673828,47,2.4099999999999984,3.79,1.543,2.456254050550875
97.19024991989136,0.025247812271118164,48,2.439999999999998,3.83,1.543,2.4821775761503564
99.19735813140869,0.0020017623901367188,49,2.469999999999998,3.88,1.543,2.5145819831497085
101.25044584274292,0.025485754013061523,50,2.499999999999998,3.93,1.543,2.5469863901490606
103.2590982913971,0.002703428268432617,51,2.5299999999999976,3.97,1.542,2.574578469520104
105.28137350082397,0.011270761489868164,52,2.5599999999999974,4.02,1.542,2.6070038910505833
107.30501174926758,0.0029070377349853516,53,2.589999999999997,4.07,1.542,2.6394293125810635
109.34230089187622,0.01041555404663086,54,2.619999999999997,4.11,1.542,2.6653696498054478
111.35485792160034,0.002840280532836914,55,2.649999999999997,4.16,1.542,2.6977950713359276
113.38606643676758,0.002016782760620117,56,2.6799999999999966,4.2,1.542,2.7237354085603114
115.4185631275177,0.002714395523071289,57,2.7099999999999964,4.25,1.542,2.756160830090791
