This notepad takes measurements from the generator and then the load
Time,Counter,Vc,Ic,Rc,Vm,Im,Rm
0.03390932083129883,0,5.38,1.54,3.4935064935064934,4.15,1.56,2.6602564102564106
1.0900850296020508,1,4.99,1.56,3.198717948717949,5.39,1.264,4.264240506329114
2.1213271617889404,2,5.38,1.56,3.4487179487179485,4.99,0.01,499.0
3.1964521408081055,3,4.9,1.56,3.141025641025641,5.38,1.56,3.4487179487179485
4.246643781661987,4,5.38,1.54,3.4935064935064934,3.71,1.56,2.378205128205128
5.32675576210022,5,5.32,1.56,3.41025641025641,5.39,0.187,28.823529411764703
6.393902063369751,6,5.07,1.56,3.25,5.33,0.975,5.466666666666667
7.490968465805054,7,5.17,1.56,3.314102564102564,5.07,0.598,8.478260869565219
8.549140214920044,8,5.38,1.56,3.4487179487179485,5.18,0.002,2590.0
9.606312036514282,9,5.38,1.56,3.4487179487179485,5.39,0.007,769.9999999999999
10.669468879699707,10,5.38,1.55,3.4709677419354836,2.43,1.56,1.5576923076923077
11.713676691055298,11,5.38,1.55,3.4709677419354836,2.59,1.55,1.6709677419354838
12.795783042907715,12,5.38,1.55,3.4709677419354836,2.69,1.55,1.7354838709677418
13.84298300743103,13,5.38,1.55,3.4709677419354836,2.89,1.55,1.864516129032258
14.88619327545166,14,5.38,1.55,3.4709677419354836,2.4,1.55,1.5483870967741935
15.975280523300171,15,5.38,1.55,3.4709677419354836,3.19,1.55,2.0580645161290323
17.02447533607483,16,5.38,1.55,3.4709677419354836,3.35,1.55,2.161290322580645
18.10259222984314,17,5.38,1.55,3.4709677419354836,3.5,1.55,2.258064516129032
19.15278434753418,18,5.38,1.55,3.4709677419354836,3.64,1.55,2.3483870967741938
20.20896053314209,19,5.38,1.54,3.4935064935064934,3.83,1.55,2.4709677419354836
21.26114583015442,20,5.38,1.54,3.4935064935064934,3.94,1.54,2.5584415584415585
22.309342861175537,21,5.38,1.54,3.4935064935064934,4.09,1.54,2.655844155844156
23.38446807861328,22,5.38,1.54,3.4935064935064934,4.03,1.54,2.616883116883117
24.441641330718994,23,5.38,1.53,3.5163398692810457,4.4,1.54,2.857142857142857
25.497816801071167,24,5.38,1.53,3.5163398692810457,4.52,1.53,2.9542483660130716
26.573939085006714,25,5.38,1.52,3.539473684210526,4.68,1.53,3.0588235294117645
27.6261248588562,26,5.38,1.51,3.562913907284768,4.8,1.52,3.1578947368421053
28.72019934654236,27,4.88,1.56,3.128205128205128,4.92,1.51,3.258278145695364
29.768396854400635,28,4.89,1.56,3.134615384615384,4.89,1.455,3.360824742268041
30.869452238082886,29,4.9,1.56,3.141025641025641,4.89,1.416,3.4533898305084745
31.927622318267822,30,4.92,1.56,3.1538461538461537,4.9,1.38,3.55072463768116
32.996763944625854,31,4.93,1.56,3.16025641025641,4.93,1.344,3.6681547619047614
34.05293941497803,32,4.94,1.56,3.166666666666667,4.94,1.314,3.7595129375951295
35.13404822349548,33,4.95,1.56,3.173076923076923,4.94,1.283,3.850350740452066
36.19720506668091,34,4.96,1.56,3.1794871794871793,4.95,1.253,3.950518754988029
37.27432465553284,35,4.97,1.56,3.1858974358974357,4.96,1.226,4.045676998368679
38.35942316055298,36,4.98,1.56,3.1923076923076925,4.97,1.198,4.148580968280467
39.411609172821045,37,4.99,1.56,3.198717948717949,4.99,1.165,4.283261802575107
40.49271845817566,38,5.0,1.56,3.205128205128205,4.99,1.138,4.3848857644991215
41.54390788078308,39,5.0,1.56,3.205128205128205,5.01,1.124,4.45729537366548
42.6160409450531,40,5.01,1.56,3.2115384615384612,5.01,1.1,4.554545454545454
43.6971549987793,41,5.02,1.56,3.2179487179487176,5.01,1.078,4.6474953617810755
44.76130414009094,42,5.02,1.56,3.2179487179487176,5.02,1.055,4.758293838862559
45.839420795440674,43,5.03,1.56,3.2243589743589745,5.02,1.035,4.85024154589372
46.89360189437866,44,5.04,1.56,3.230769230769231,5.04,1.017,4.955752212389381
47.97570848464966,45,5.04,1.56,3.230769230769231,5.04,0.999,5.045045045045045
49.04285502433777,46,5.05,1.56,3.237179487179487,5.04,0.98,5.142857142857143
50.12994742393494,47,5.06,1.56,3.243589743589743,5.06,0.962,5.25987525987526
51.18412923812866,48,5.06,1.56,3.243589743589743,5.07,0.942,5.382165605095542
52.25925374031067,49,5.07,1.56,3.25,5.06,0.93,5.440860215053763
53.30844807624817,50,5.07,1.56,3.25,5.07,0.915,5.540983606557377
54.408506870269775,51,5.08,1.56,3.2564102564102564,5.08,0.9,5.644444444444445
55.46468210220337,52,5.08,1.56,3.2564102564102564,5.09,0.887,5.738444193912063
56.533823013305664,53,5.09,1.56,3.2628205128205128,5.08,0.87,5.839080459770115
57.591994524002075,54,5.09,1.56,3.2628205128205128,5.09,0.851,5.981198589894242
58.66512489318848,55,5.1,1.56,3.2692307692307687,5.09,0.843,6.037959667852906
59.729278326034546,56,5.1,1.56,3.2692307692307687,5.1,0.831,6.137184115523466
60.817368507385254,57,5.1,1.56,3.2692307692307687,5.1,0.818,6.234718826405868
61.87055206298828,58,5.11,1.56,3.2756410256410255,5.1,0.805,6.335403726708074
62.92772555351257,59,5.11,1.56,3.2756410256410255,5.11,0.794,6.435768261964736
63.99287700653076,60,5.12,1.56,3.282051282051282,5.12,0.782,6.547314578005115
65.04207134246826,61,5.12,1.56,3.282051282051282,5.12,0.773,6.623544631306598
66.1331536769867,62,5.12,1.56,3.282051282051282,5.12,0.761,6.7279894875164254
67.19132399559021,63,5.13,1.56,3.2884615384615383,5.13,0.749,6.8491321762349795
68.32928109169006,64,5.13,1.56,3.2884615384615383,5.13,0.741,6.923076923076923
69.38246488571167,65,5.14,1.56,3.2948717948717947,5.13,0.724,7.085635359116022
70.46157932281494,66,5.14,1.56,3.2948717948717947,5.15,0.721,7.142857142857143
71.51875257492065,67,5.14,1.56,3.2948717948717947,5.15,0.711,7.243319268635725
72.59387683868408,68,5.14,1.56,3.2948717948717947,5.14,0.701,7.3323823109843085
73.66002631187439,69,5.15,1.56,3.3012820512820515,5.14,0.693,7.417027417027417
74.70622873306274,70,5.15,1.56,3.3012820512820515,5.15,0.686,7.50728862973761
75.78235077857971,71,5.15,1.56,3.3012820512820515,5.15,0.676,7.618343195266272
76.82955026626587,72,5.16,1.56,3.3076923076923075,5.15,0.655,7.862595419847328
77.90068626403809,73,5.16,1.56,3.3076923076923075,5.16,0.66,7.818181818181818
78.94888305664062,74,5.16,1.56,3.3076923076923075,5.16,0.653,7.901990811638591
80.01702666282654,75,5.16,1.56,3.3076923076923075,5.17,0.644,8.027950310559007
81.08816242218018,76,5.16,1.56,3.3076923076923075,5.16,0.635,8.125984251968504
82.15131998062134,77,5.17,1.56,3.314102564102564,5.17,0.629,8.21939586645469
83.22943663597107,78,5.17,1.56,3.314102564102564,5.18,0.622,8.32797427652733
84.27763342857361,79,5.17,1.56,3.314102564102564,5.17,0.616,8.392857142857142
85.3467743396759,80,5.17,1.56,3.314102564102564,5.17,0.607,8.517298187808896
86.39297652244568,81,5.18,1.56,3.3205128205128203,5.17,0.6,8.616666666666667
87.43718481063843,82,5.18,1.56,3.3205128205128203,5.18,0.595,8.705882352941176
88.50931739807129,83,5.18,1.56,3.3205128205128203,5.19,0.589,8.811544991511036
89.55851197242737,84,5.18,1.56,3.3205128205128203,5.18,0.582,8.900343642611684
90.68849039077759,85,5.18,1.56,3.3205128205128203,5.18,0.576,8.993055555555555
91.73768424987793,86,5.19,1.56,3.326923076923077,5.19,0.57,9.105263157894738
92.80283641815186,87,5.19,1.56,3.326923076923077,5.19,0.565,9.185840707964603
93.85402512550354,88,5.19,1.56,3.326923076923077,5.19,0.559,9.28443649373882
94.94311285018921,89,5.2,1.56,3.3333333333333335,5.19,0.552,9.402173913043478
96.01025915145874,90,5.2,1.56,3.3333333333333335,5.2,0.543,9.576427255985267
97.08139491081238,91,5.2,1.56,3.3333333333333335,5.21,0.542,9.612546125461254
98.15153336524963,92,5.2,1.56,3.3333333333333335,5.21,0.537,9.702048417132215
99.24560737609863,93,5.2,1.56,3.3333333333333335,5.21,0.532,9.793233082706767
100.30676984786987,94,5.2,1.56,3.3333333333333335,5.2,0.525,9.904761904761905
101.39984679222107,95,5.21,1.56,3.3397435897435894,5.21,0.521,10.0
102.45003867149353,96,5.21,1.56,3.3397435897435894,5.21,0.518,10.057915057915057
103.49723839759827,97,5.21,1.56,3.3397435897435894,5.21,0.513,10.155945419103313
104.55640649795532,98,5.21,1.56,3.3397435897435894,5.22,0.507,10.29585798816568
105.60460376739502,99,5.21,1.56,3.3397435897435894,5.22,0.501,10.419161676646706
106.66875743865967,100,5.21,1.56,3.3397435897435894,5.21,0.499,10.440881763527054
107.75285816192627,101,5.22,1.56,3.346153846153846,5.22,0.495,10.545454545454545
108.8339672088623,102,5.22,1.56,3.346153846153846,5.22,0.49,10.653061224489795
109.87318873405457,103,5.22,1.56,3.346153846153846,5.23,0.487,10.739219712525669
110.95928382873535,104,5.22,1.56,3.346153846153846,5.22,0.481,10.852390852390853
112.02643060684204,105,5.22,1.56,3.346153846153846,5.22,0.478,10.920502092050208
113.07063841819763,106,5.22,1.56,3.346153846153846,5.23,0.472,11.080508474576273
114.14576292037964,107,5.22,1.56,3.346153846153846,5.22,0.469,11.130063965884862
115.19096803665161,108,5.23,1.56,3.3525641025641026,5.23,0.462,11.32034632034632
116.24614691734314,109,5.23,1.56,3.3525641025641026,5.23,0.456,11.469298245614036
117.31229639053345,110,5.23,1.56,3.3525641025641026,5.23,0.458,11.419213973799128
118.42133092880249,111,5.23,1.56,3.3525641025641026,5.23,0.453,11.545253863134658
